unix,date,symbol,open,high,low,close,Volume ETC,Volume USD,Index
1578960000,1/14/2020,ETC/USD,5.4639999999999995,7.047000000000001,5.4639999999999995,6.822,12441446.04,1927781.9,239
1578873600,1/13/2020,ETC/USD,5.5729999999999995,5.591,5.321000000000001,5.4639999999999995,817450.28,150504.0,240
1578787200,1/12/2020,ETC/USD,5.574,5.646,5.3660000000000005,5.5729999999999995,965653.99,175148.3,241
1578700800,1/11/2020,ETC/USD,5.36,5.824,5.321000000000001,5.574,2500382.39,447262.21,242
1578614400,1/10/2020,ETC/USD,5.18,5.407,4.91,5.36,1473883.73,285784.83,243
1578528000,1/9/2020,ETC/USD,4.955,5.209,4.87,5.18,1522976.69,300393.02,244
1578441600,1/8/2020,ETC/USD,4.84,5.06,4.71,4.955,1181885.8,241558.11,245
1578355200,1/7/2020,ETC/USD,5.044,5.08,4.7139999999999995,4.84,1705036.95,350797.9,246
1578268800,1/6/2020,ETC/USD,4.873,5.145,4.85,5.044,1490607.44,298791.27,247
1578182400,1/5/2020,ETC/USD,4.758,5.002,4.728,4.873,1411377.31,289372.64,248
1578096000,1/4/2020,ETC/USD,4.569,4.768,4.523,4.758,614972.58,132552.12,249
1578009600,1/3/2020,ETC/USD,4.218,4.62,4.171,4.569,708990.66,159560.11,250
1577923200,1/2/2020,ETC/USD,4.476,4.495,4.16,4.218,628975.95,144669.78,251
1577836800,1/1/2020,ETC/USD,4.473,4.5569999999999995,4.454,4.476,287704.12,63810.77,252
1577750400,12/31/2019,ETC/USD,4.606,4.7669999999999995,4.42,4.473,905226.45,197476.68,253
1577664000,12/30/2019,ETC/USD,4.638999999999999,4.84,4.523,4.606,661305.59,142220.04,254
1577577600,12/29/2019,ETC/USD,4.401,4.843999999999999,4.379,4.638999999999999,896141.15,193270.93,255
1577491200,12/28/2019,ETC/USD,4.492,4.542,4.368,4.401,450606.59,101187.66,256
1577404800,12/27/2019,ETC/USD,4.487,4.669,4.357,4.492,1082708.8,241077.67,257
1577318400,12/26/2019,ETC/USD,4.039,4.772,4.034,4.487,2027002.14,458983.65,258
1577232000,12/25/2019,ETC/USD,3.926,4.08,3.9010000000000002,4.039,363896.55,90584.2,259
1577145600,12/24/2019,ETC/USD,4.0,4.0,3.884,3.926,195151.02,49399.68,260
1577059200,12/23/2019,ETC/USD,4.197,4.238,3.949,4.0,699742.21,169654.3,261
1576972800,12/22/2019,ETC/USD,4.091,4.2669999999999995,4.053999999999999,4.197,498957.43,119161.77,262
1576886400,12/21/2019,ETC/USD,4.05,4.171,3.986,4.091,500600.77,122639.99,263
1576800000,12/20/2019,ETC/USD,3.727,4.223,3.68,4.05,784869.79,196563.98,264
1576713600,12/19/2019,ETC/USD,3.775,3.8289999999999997,3.66,3.727,192923.88,51692.36,265
1576627200,12/18/2019,ETC/USD,3.475,3.839,3.367,3.775,830134.92,229217.5,266
1576540800,12/17/2019,ETC/USD,3.679,3.7060000000000004,3.412,3.475,412063.59,116048.22,267
1576454400,12/16/2019,ETC/USD,3.801,3.838,3.6210000000000004,3.679,944065.51,253121.67,268
1576368000,12/15/2019,ETC/USD,3.793,3.859,3.753,3.801,153431.15,40386.01,269
1576281600,12/14/2019,ETC/USD,3.852,3.865,3.7430000000000003,3.793,183494.48,48278.83,270
1576195200,12/13/2019,ETC/USD,3.81,3.888,3.793,3.852,146188.14,37956.84,271
1576108800,12/12/2019,ETC/USD,3.762,3.8480000000000003,3.714,3.81,292191.44,77205.41,272
1576022400,12/11/2019,ETC/USD,3.778,3.8,3.75,3.762,217476.52,57578.3,273
1575936000,12/10/2019,ETC/USD,3.803,3.803,3.735,3.778,184450.39,48936.99,274
1575849600,12/9/2019,ETC/USD,3.9,3.928,3.77,3.803,222924.14,57879.92,275
1575763200,12/8/2019,ETC/USD,3.87,3.95,3.8289999999999997,3.9,139396.8,35789.36,276
1575676800,12/7/2019,ETC/USD,3.903,3.95,3.86,3.87,268838.78,68902.64,277
1575590400,12/6/2019,ETC/USD,3.7960000000000003,3.925,3.77,3.903,244384.76,63186.43,278
1575504000,12/5/2019,ETC/USD,3.753,3.822,3.7289999999999996,3.7960000000000003,215872.05,57147.3,279
1575417600,12/4/2019,ETC/USD,3.8310000000000004,3.905,3.701,3.753,377039.54,99544.38,280
1575331200,12/3/2019,ETC/USD,3.865,3.95,3.823,3.8310000000000004,226263.23,58305.78,281
1575244800,12/2/2019,ETC/USD,3.943,3.955,3.785,3.865,289918.98,75331.97,282
1575158400,12/1/2019,ETC/USD,3.9530000000000003,4.053,3.81,3.943,377287.44,96753.28,283
1575072000,11/30/2019,ETC/USD,4.086,4.107,3.8710000000000004,3.9530000000000003,385747.55,96436.21,284
1574985600,11/29/2019,ETC/USD,3.94,4.138,3.929,4.086,319503.97,78826.18,285
